word,n,language
data,230,English
company,193,English
user,155,English
people,80,English
privacy,63,English
information,61,English
social,56,English
committee,50,English
ceo,46,English
firm,46,English
access,45,English
political,45,English
wednesday,44,English
congress,41,English
election,41,English
chief,37,English
app,36,English
news,36,English
commerce,35,English
lawmakers,35,English
campaign,34,English
developers,34,English
regulation,34,English
testify,34,English
million,33,English
senate,33,English
tuesday,33,English
network,32,English
sen,32,English
trust,32,English
hearing,30,English
public,30,English
apps,29,English
executive,29,English
russian,29,English
trump,28,English
time,27,English
week,27,English
media,25,English
statement,25,English
tech,25,English
day,24,English
house,24,English
monday,24,English
protect,24,English
questions,24,English
technology,24,English
cruz,23,English
issue,22,English
personal,22,English
post,22,English
business,21,English
employees,21,English
mistake,21,English
platform,21,English
responsibility,21,English
testimony,21,English
twitter,21,English
improperly,20,English
presidential,20,English
sandberg,20,English
times,20,English
washington,20,English
including,19,English
steps,19,English
content,18,English
crisis,18,English
elections,18,English
federal,18,English
interference,18,English
scandal,18,English
top,18,English
york,18,English
congressional,17,English
energy,17,English
nelson,17,English
world,17,English
called,16,English
comment,16,English
republican,16,English
research,16,English
revelations,16,English
senators,16,English
sharing,16,English
silicon,16,English
valley,16,English
chairman,15,English
hearings,15,English
hill,15,English
interview,15,English
page,15,English
wrote,15,English
appearance,14,English
capitol,14,English
internet,14,English
reported,14,English
role,14,English
senator,14,English
billion,13,English
breach,13,English
change,13,English
founder,13,English
judiciary,13,English
mining,13,English
online,13,English
past,13,English
prevent,13,English
quiz,13,English
reports,13,English
rules,13,English
staff,13,English
address,12,English
commission,12,English
days,12,English
democrat,12,English
donald,12,English
friends,12,English
major,12,English
meeting,12,English
obtained,12,English
party,12,English
recent,12,English
spread,12,English
suit,12,English
view,12,English
accounts,11,English
ahead,11,English
appeared,11,English
bill,11,English
billionaire,11,English
consulting,11,English
created,11,English
efforts,11,English
email,11,English
executives,11,English
fake,11,English
ll,11,English
president,11,English
question,11,English
scheduled,11,English
security,11,English
taking,11,English
thune,11,English
told,11,English
control,10,English
friday,10,English
google,10,English
government,10,English
hard,10,English
influence,10,English
mistakes,10,English
officer,10,English
prepared,10,English
sheryl,10,English
stock,10,English
support,10,English
action,9,English
ads,9,English
controversy,9,English
democratic,9,English
earlier,9,English
francisco,9,English
future,9,English
home,9,English
industry,9,English
issues,9,English
matter,9,English
policy,9,English
posted,9,English
released,9,English
republicans,9,English
request,9,English
respond,9,English
responsible,9,English
san,9,English
set,9,English
shared,9,English
texas,9,English
acknowledged,8,English
added,8,English
affected,8,English
answers,8,English
april,8,English
chronicle,8,English
cnn,8,English
deletefacebook,8,English
democrats,8,English
finally,8,English
giant,8,English
grassley,8,English
happened,8,English
harvested,8,English
head,8,English
investigating,8,English
kogan,8,English
law,8,English
leader,8,English
lot,8,English
millions,8,English
model,8,English
moment,8,English
months,8,English
personality,8,English
plans,8,English
power,8,English
pressed,8,English
private,8,English
profile,8,English
report,8,English
reporters,8,English
response,8,English
robert,8,English
sign,8,English
started,8,English
tie,8,English
tools,8,English
trade,8,English
weeks,8,English
admitted,7,English
answer,7,English
apology,7,English
broad,7,English
comments,7,English
criticism,7,English
deleted,7,English
developer,7,English
digital,7,English
disinformation,7,English
failed,7,English
graham,7,English
history,7,English
hour,7,English
hours,7,English
job,7,English
legislation,7,English
misuse,7,English
mueller,7,English
november,7,English
obama,7,English
outlined,7,English
policies,7,English
previously,7,English
product,7,English
published,7,English
questioning,7,English
remarks,7,English
reportedly,7,English
researcher,7,English
researchers,7,English
restrict,7,English
review,7,English
run,7,English
speech,7,English
spokeswoman,7,English
story,7,English
suspended,7,English
university,7,English
academic,6,English
accessed,6,English
act,6,English
actions,6,English
ago,6,English
americans,6,English
bias,6,English
board,6,English
breaches,6,English
break,6,English
britain,6,English
british,6,English
call,6,English
collect,6,English
committees,6,English
conference,6,English
confirmed,6,English
counsel,6,English
declined,6,English
democracy,6,English
disclosure,6,English
experts,6,English
fast,6,English
foreign,6,English
gain,6,English
gathered,6,English
immediately,6,English
included,6,English
integrity,6,English
investigation,6,English
involving,6,English
late,6,English
leaders,6,English
leadership,6,English
march,6,English
markey,6,English
measures,6,English
meetings,6,English
misused,6,English
month,6,English
move,6,English
movement,6,English
names,6,English
offered,6,English
office,6,English
permission,6,English
photo,6,English
politicians,6,English
press,6,English
probe,6,English
regulate,6,English
regulators,6,English
rep,6,English
require,6,English
required,6,English
russia,6,English
serve,6,English
services,6,English
sfchroniclecom,6,English
share,6,English
situation,6,English
speaking,6,English
start,6,English
step,6,English
stop,6,English
stories,6,English
talking,6,English
ted,6,English
united,6,English
ability,5,English
account,5,English
accused,5,English
advertising,5,English
agency,5,English
alleged,5,English
america,5,English
analytics,5,English
announcing,5,English
apologized,5,English
audit,5,English
believes,5,English
california,5,English
calm,5,English
comfortable,5,English
computer,5,English
concerns,5,English
connected,5,English
conservative,5,English
continued,5,English
contributed,5,English
cornyn,5,English
david,5,English
decade,5,English
demanded,5,English
deserve,5,English
developed,5,English
european,5,English
exchange,5,English
expect,5,English
explain,5,English
familiar,5,English
fix,5,English
florida,5,English
hand,5,English
harvard,5,English
held,5,English
helped,5,English
hired,5,English
honest,5,English
hot,5,English
ill,5,English
independent,5,English
investors,5,English
iowa,5,English
leave,5,English
left,5,English
legal,5,English
letter,5,English
life,5,English
london,5,English
met,5,English
operating,5,English
owen,5,English
paid,5,English
percent,5,English
person,5,English
photos,5,English
politics,5,English
practices,5,English
protecting,5,English
protection,5,English
provide,5,English
publicly,5,English
quell,5,English
range,5,English
read,5,English
real,5,English
regulations,5,English
revealed,5,English
richard,5,English
science,5,English
scrutiny,5,English
separate,5,English
significant,5,English
silence,5,English
site,5,English
special,5,English
