word,sentiment,n
trust,positive,32
trump,positive,28
protect,positive,24
issue,negative,22
mistake,negative,21
improperly,negative,20
crisis,negative,18
interference,negative,18
scandal,negative,18
top,positive,18
breach,negative,13
fake,negative,11
hard,negative,10
mistakes,negative,10
support,positive,10
controversy,negative,9
issues,negative,9
criticism,negative,7
failed,negative,7
misuse,negative,7
restrict,negative,7
bias,negative,6
break,negative,6
fast,positive,6
gain,positive,6
calm,positive,5
comfortable,positive,5
concerns,negative,5
conservative,negative,5
helped,positive,5
honest,positive,5
hot,positive,5
protection,positive,5
significant,positive,5
violation,negative,5
worst,negative,5
aggressive,negative,4
allegations,negative,4
approval,positive,4
bolster,positive,4
breaking,negative,4
broke,negative,4
concern,negative,4
confidence,positive,4
confront,negative,4
easy,positive,4
fall,negative,4
favor,positive,4
fell,negative,4
happy,positive,4
harm,negative,4
hate,negative,4
impossible,negative,4
intense,negative,4
leak,negative,4
led,positive,4
oversight,negative,4
powerful,positive,4
propaganda,negative,4
regret,negative,4
revelation,positive,4
scandals,negative,4
silent,positive,4
vice,negative,4
won,positive,4
worth,positive,4
bad,negative,3
dark,negative,3
difficult,negative,3
exploitation,negative,3
failure,negative,3
faith,positive,3
false,negative,3
free,positive,3
hurt,negative,3
inappropriately,negative,3
incorrect,negative,3
incredibly,positive,3
innovation,positive,3
leading,positive,3
lost,negative,3
malicious,negative,3
manipulate,negative,3
nefarious,negative,3
pretty,positive,3
progress,positive,3
promise,positive,3
rapid,positive,3
reputation,positive,3
sued,negative,3
supported,positive,3
talent,positive,3
tough,positive,3
absence,negative,2
abuse,negative,2
abuses,negative,2
accusations,negative,2
bait,negative,2
blame,negative,2
broken,negative,2
chaos,negative,2
complained,negative,2
concerned,negative,2
confident,positive,2
cooperative,positive,2
critical,negative,2
damage,negative,2
danger,negative,2
debacle,negative,2
divisive,negative,2
downside,negative,2
failing,negative,2
failures,negative,2
fair,positive,2
falling,negative,2
famous,positive,2
frustration,negative,2
gained,positive,2
guilty,negative,2
healthy,positive,2
lack,negative,2
lead,positive,2
liability,negative,2
lies,negative,2
likes,positive,2
limit,negative,2
limits,negative,2
mad,negative,2
miss,negative,2
modern,positive,2
openness,positive,2
opposition,negative,2
optimistic,positive,2
pervasive,negative,2
proactive,positive,2
promised,positive,2
ready,positive,2
secure,positive,2
severe,negative,2
sharp,positive,2
shocking,negative,2
skeptical,negative,2
slow,negative,2
smart,positive,2
sophisticated,positive,2
stable,positive,2
stranger,negative,2
stronger,positive,2
stupid,negative,2
success,positive,2
swift,positive,2
threaten,negative,2
tragedy,negative,2
unsafe,negative,2
upset,negative,2
wary,negative,2
willingness,positive,2
abound,positive,1
absurd,negative,1
absurdly,negative,1
abused,negative,1
abusive,negative,1
accessible,positive,1
accolades,positive,1
accurate,positive,1
advantage,positive,1
advocates,positive,1
afford,positive,1
alarm,negative,1
ambitious,positive,1
anxious,negative,1
approve,positive,1
arcane,negative,1
assuring,positive,1
attacks,negative,1
averse,negative,1
awkward,negative,1
beautiful,positive,1
beloved,positive,1
benefit,positive,1
bewildering,negative,1
biased,negative,1
bogus,negative,1
boring,negative,1
breaks,negative,1
bright,positive,1
bugs,negative,1
bullying,negative,1
calming,positive,1
capable,positive,1
catastrophic,negative,1
celebrate,positive,1
chagrin,negative,1
choppy,negative,1
cloud,negative,1
competitive,positive,1
complex,negative,1
comprehensive,positive,1
conceded,negative,1
conflicts,negative,1
consistently,positive,1
convenience,positive,1
convenient,positive,1
correct,positive,1
corruption,negative,1
courage,positive,1
cracks,negative,1
crash,negative,1
crazy,negative,1
critic,negative,1
criticized,negative,1
critics,negative,1
cry,negative,1
damaging,negative,1
deadly,negative,1
defeated,positive,1
defensive,negative,1
demoralizing,negative,1
destruction,negative,1
detriment,negative,1
dilemma,negative,1
disabled,negative,1
disadvantage,negative,1
disruption,negative,1
distracting,negative,1
distraction,negative,1
disturbing,negative,1
divisiveness,negative,1
dogged,negative,1
dominate,positive,1
doubt,negative,1
dumb,negative,1
easier,positive,1
effective,positive,1
elite,positive,1
encouraging,positive,1
endorsing,positive,1
enemy,negative,1
enhanced,positive,1
enjoy,positive,1
enjoyed,positive,1
equivocal,negative,1
ethical,positive,1
exasperated,negative,1
exceeded,positive,1
expensive,negative,1
exploit,negative,1
extraordinary,positive,1
fails,negative,1
fallen,negative,1
fallout,negative,1
faltered,negative,1
fascism,negative,1
favorite,positive,1
fear,negative,1
fiction,negative,1
fine,positive,1
flaws,negative,1
fluent,positive,1
fool,negative,1
fooled,negative,1
fortune,positive,1
fraudulent,negative,1
freedom,positive,1
frustrated,negative,1
furious,negative,1
furiously,negative,1
furor,negative,1
gaining,positive,1
glee,positive,1
glimmer,positive,1
gripe,negative,1
hallmark,positive,1
harassment,negative,1
harmful,negative,1
harms,negative,1
helpful,positive,1
helping,positive,1
hoax,negative,1
hobble,negative,1
honesty,positive,1
hostile,negative,1
hottest,positive,1
humor,positive,1
immense,positive,1
implicate,negative,1
improve,positive,1
improved,positive,1
inability,negative,1
inactive,negative,1
inappropriate,negative,1
inevitable,negative,1
influential,positive,1
innovative,positive,1
