word,sentiment,n
fehler,negative,36
verantwortung,positive,27
skandal,negative,26
ende,negative,14
kritik,negative,11
wissen,positive,11
schutz,positive,10
besser,positive,9
einfach,positive,8
genau,positive,8
leid,negative,8
missbrauch,negative,8
verantwortlich,positive,8
lösung,positive,7
propaganda,negative,7
bekannt,positive,6
erhalten,positive,6
krise,negative,6
sicherheit,positive,6
besonders,positive,5
erklärt,positive,5
gezielt,positive,5
hart,negative,5
kurz,negative,5
schaden,negative,5
unerlaubt,negative,5
verbinden,positive,5
zustimmung,positive,5
beheben,positive,4
bereit,positive,4
besserung,positive,4
einstellen,negative,4
intelligenz,positive,4
lösen,positive,4
massiv,positive,4
möglich,positive,4
möglichkeit,positive,4
neu,positive,4
optimistisch,positive,4
recht,positive,4
stil,positive,4
versprechen,positive,4
vertrauen,positive,4
weise,positive,4
ziel,positive,4
affäre,negative,3
ausgeweitet,positive,3
bestätigen,positive,3
empörung,negative,3
erhöhen,positive,3
erschweren,negative,3
führen,positive,3
glaube,positive,3
grundsätzlich,positive,3
kontroverse,negative,3
kraft,positive,3
kritiker,negative,3
löschen,negative,3
milde,positive,3
nutzen,positive,3
sicher,positive,3
verdienen,positive,3
zusammenarbeit,positive,3
aktuell,positive,2
bedenken,positive,2
beliebt,positive,2
bestehen,positive,2
drohen,negative,2
erfahren,positive,2
erfolgreich,positive,2
erleichtern,positive,2
ernsthaft,positive,2
erreichen,positive,2
experte,positive,2
freiheit,positive,2
freund,positive,2
gefragt,positive,2
geschickt,positive,2
hass,negative,2
klar,positive,2
klein,negative,2
knapp,negative,2
konkret,positive,2
kooperation,positive,2
kostenlos,positive,2
langsam,negative,2
löschung,negative,2
manipulation,negative,2
offensichtlich,positive,2
positiv,positive,2
retten,positive,2
schnell,positive,2
schwer,negative,2
sichern,positive,2
sicherstellen,positive,2
sichtbar,positive,2
unterstützen,positive,2
verbannen,negative,2
verlieren,negative,2
vermeiden,negative,2
versagen,negative,2
verstoßen,negative,2
wachstum,positive,2
zufrieden,positive,2
zuversichtlich,positive,2
anbieten,positive,1
annäherung,positive,1
anpassen,positive,1
anspannung,negative,1
anspruch,positive,1
anvertrauen,positive,1
aufgebracht,negative,1
auflösung,negative,1
aufstocken,positive,1
ausbau,positive,1
ausfallen,negative,1
ausreichen,positive,1
ausreichend,positive,1
bedeutsam,positive,1
bedeutung,positive,1
beeinträchtigen,negative,1
begrenzt,negative,1
beitragen,positive,1
bereitschaft,positive,1
beschissen,negative,1
beschuldigen,negative,1
beseitigen,negative,1
besitz,positive,1
bestätigung,positive,1
besteuern,negative,1
bestrafen,negative,1
blindheit,negative,1
brisant,negative,1
demütigen,negative,1
doppeldeutigkeit,negative,1
dramatisch,negative,1
ehrlich,positive,1
eingeschränkt,negative,1
einschränken,negative,1
einschränkung,negative,1
einweihen,positive,1
erfolg,positive,1
erholen,positive,1
erkennbar,positive,1
erlauben,positive,1
erlaubnis,positive,1
fahrlässig,negative,1
fallen,negative,1
fehlanzeige,negative,1
fest,positive,1
fördern,positive,1
fortschritt,positive,1
freundlich,positive,1
gefahr,negative,1
gefährden,negative,1
gefährlich,negative,1
gemeinsam,positive,1
gemeinschaft,positive,1
genervt,negative,1
genügend,positive,1
gewinn,positive,1
groß,positive,1
hauptsächlich,positive,1
heftig,negative,1
helfen,positive,1
hilfe,positive,1
hoffnung,positive,1
illegal,negative,1
integrität,positive,1
interessant,positive,1
interessieren,positive,1
investieren,positive,1
komplett,positive,1
konfrontation,negative,1
konfrontieren,negative,1
kooperieren,positive,1
kümmern,positive,1
lächerlich,negative,1
legendär,positive,1
leicht,positive,1
lernen,positive,1
lückenlos,positive,1
mangel,negative,1
matt,negative,1
missbrauchen,negative,1
mist,negative,1
nachlässig,negative,1
naiv,negative,1
naivität,negative,1
negativ,negative,1
optimist,positive,1
pflicht,negative,1
rechtlich,positive,1
reduzieren,negative,1
reparieren,positive,1
richtig,positive,1
riesig,positive,1
rücktritt,negative,1
ruhig,positive,1
schaffen,positive,1
scharf,positive,1
schenken,positive,1
schließen,negative,1
schuldig,negative,1
sorge,negative,1
sorgen,positive,1
souverän,positive,1
spitze,positive,1
stark,positive,1
stehlen,negative,1
steigen,positive,1
stinken,negative,1
stoßen,negative,1
terrorismus,negative,1
transparent,positive,1
übereinstimmung,positive,1
überraschend,positive,1
überschaubar,positive,1
überzeugt,positive,1
unabhängig,positive,1
unangemessen,negative,1
unberührt,positive,1
uneingeschränkt,positive,1
unklar,negative,1
unkompliziert,positive,1
unmut,negative,1
unruhe,negative,1
untergraben,negative,1
unterstützung,positive,1
unvermeidlich,negative,1
verantwortungsvoll,positive,1
verbannung,negative,1
verbesserung,positive,1
verdacht,negative,1
vereinfachung,positive,1
verletzt,negative,1
verraten,negative,1
verständlich,positive,1
verständnis,positive,1
verstärken,positive,1
vertraut,positive,1
widersprechen,negative,1
zögern,negative,1
zustimmen,positive,1
zuversicht,positive,1
zweifel,negative,1
zweifelhaft,negative,1
