word,sentiment,n
scandal,negative,357
hate,negative,275
free,positive,261
conservative,negative,233
trust,positive,201
won,positive,197
love,positive,194
protect,positive,171
lied,negative,170
trump,positive,169
funny,negative,162
fake,negative,159
bad,negative,158
mistake,negative,155
breach,negative,152
lying,negative,145
liar,negative,142
bias,negative,141
wrong,negative,141
issue,negative,137
wow,positive,117
issues,negative,116
hard,negative,111
support,positive,108
lies,negative,103
worth,positive,101
pretty,positive,100
shit,negative,100
top,positive,96
protection,positive,95
break,negative,92
fuck,negative,92
hot,positive,90
lack,negative,88
ready,positive,88
unsafe,negative,87
lie,negative,86
cancer,negative,84
awkward,negative,83
tough,positive,83
denies,negative,82
fun,positive,80
safe,positive,79
amazing,positive,78
stupid,negative,76
easy,positive,75
joke,negative,75
hell,negative,74
leak,negative,74
hilarious,positive,73
concerned,negative,72
lost,negative,71
error,negative,70
fair,positive,70
intelligence,positive,69
sham,negative,68
dumb,negative,67
racist,negative,65
stolen,negative,65
nice,positive,64
sucks,negative,64
trusted,positive,64
blame,negative,63
rich,positive,63
crisis,negative,62
weird,negative,61
win,positive,60
illegal,negative,58
confused,negative,57
damn,negative,57
fucking,negative,56
creepy,negative,55
inevitable,negative,55
mistakes,negative,55
powerful,positive,55
glad,positive,54
poor,negative,54
ridiculous,negative,54
fine,positive,53
smart,positive,53
steal,negative,53
exceeded,positive,51
guidance,positive,51
missed,negative,51
comfortable,positive,50
ignorant,negative,50
trouble,negative,50
cool,positive,49
failed,negative,49
irony,negative,49
scary,negative,49
excuse,negative,48
terrorism,negative,48
breaking,negative,47
concerns,negative,47
excellent,positive,47
miss,negative,47
perfect,positive,47
evil,negative,46
happy,positive,46
helped,positive,45
propaganda,negative,45
attack,negative,44
promises,positive,44
clueless,negative,43
stealing,negative,43
bs,negative,42
dangerous,negative,42
likes,positive,42
misuse,negative,42
super,positive,41
brilliant,positive,40
improved,positive,40
worried,negative,40
worse,negative,40
abuse,negative,39
awesome,positive,39
richer,positive,39
stole,negative,39
upset,negative,39
worry,negative,39
controversial,negative,38
mad,negative,38
tired,negative,38
tougher,positive,38
fails,negative,37
favorite,positive,37
threat,negative,37
correct,positive,36
dead,negative,36
dick,negative,36
sad,negative,36
conspiracy,negative,35
honest,positive,35
ignorance,negative,35
interference,negative,35
worst,negative,35
criminal,negative,34
fast,positive,34
helping,positive,34
messing,negative,34
mess,negative,33
respect,positive,33
smile,positive,33
ironic,negative,32
leaks,negative,32
nervous,negative,32
promised,positive,32
accurate,positive,31
angry,negative,31
biased,negative,31
fear,negative,31
genius,positive,31
misleading,negative,31
refuses,negative,31
idiots,negative,30
kill,negative,30
supporting,positive,30
fault,negative,29
hypocrisy,negative,29
manipulate,negative,29
puppet,negative,29
shocked,negative,29
suck,negative,29
fall,negative,28
freedom,positive,28
liability,negative,28
modern,positive,28
secure,positive,28
fail,negative,27
illiterate,negative,27
shocking,negative,27
bullshit,negative,26
clean,positive,26
complex,negative,26
concern,negative,26
crap,negative,26
strong,positive,26
sue,negative,26
disgusting,negative,25
false,negative,25
fascinating,positive,25
malicious,negative,25
painful,negative,25
uncomfortable,negative,25
warning,negative,25
waste,negative,25
winner,positive,25
bitch,negative,24
boring,negative,24
cloud,negative,24
difficult,negative,24
incredible,positive,24
shame,negative,24
crazy,negative,23
dishonest,negative,23
embarrassing,negative,23
enjoy,positive,23
idiot,negative,23
loved,positive,23
relief,positive,23
risk,negative,23
broken,negative,22
complicated,negative,22
critical,negative,22
gold,positive,22
lead,positive,22
naive,negative,22
nightmare,negative,22
abused,negative,21
afraid,negative,21
doubt,negative,21
fiasco,negative,21
pathetic,negative,21
dark,negative,20
failures,negative,20
fallout,negative,20
intense,negative,20
strange,negative,20
unknown,negative,20
complaining,negative,19
hack,negative,19
harm,negative,19
impossible,negative,19
killed,negative,19
lose,negative,19
patient,positive,19
popular,positive,19
reform,positive,19
scared,negative,19
warned,negative,19
cry,negative,18
destroy,negative,18
fantastic,positive,18
fraud,negative,18
infuriating,negative,18
loves,positive,18
proves,positive,18
reputation,positive,18
corrupt,negative,17
crime,negative,17
failing,negative,17
fool,negative,17
futile,negative,17
gain,positive,17
grand,positive,17
guarantee,positive,17
limited,negative,17
negative,negative,17
priceless,positive,17
promise,positive,17
refused,negative,17
smoke,negative,17
success,positive,17
arrogant,negative,16
die,negative,16
disappointed,negative,16
disturbing,negative,16
failure,negative,16
impressed,positive,16
kills,negative,16
leading,positive,16
limit,negative,16
mar,negative,16
odd,negative,16
prison,negative,16
protests,negative,16
proud,positive,16
proven,positive,16
resistance,negative,16
sick,negative,16
significant,positive,16
slow,negative,16
successful,positive,16
terrible,negative,16
transparent,positive,16
advantage,positive,15
afford,positive,15
bomb,negative,15
fresh,positive,15
guilty,negative,15
heck,negative,15
holy,positive,15
hurt,negative,15
manipulation,negative,15
pure,positive,15
screwed,negative,15
struggles,negative,15
threatening,negative,15
threats,negative,15
violate,negative,15
violation,negative,15
wins,positive,15
broke,negative,14
crack,negative,14
danger,negative,14
dislike,negative,14
dying,negative,14
fat,negative,14
freaking,negative,14
improve,positive,14
intelligent,positive,14
killing,negative,14
losing,negative,14
luck,positive,14
master,positive,14
outrage,negative,14
pleased,positive,14
positive,positive,14
savvy,positive,14
scapegoat,negative,14
useless,negative,14
wasted,negative,14
advanced,positive,13
arrogance,negative,13
classic,positive,13
confident,positive,13
confusing,negative,13
controversy,negative,13
debacle,negative,13
deny,negative,13
devil,negative,13
dump,negative,13
easier,positive,13
effective,positive,13
entertaining,positive,13
favor,positive,13
garbage,negative,13
hero,positive,13
hoax,negative,13
hypocrite,negative,13
impressive,positive,13
insane,negative,13
loving,positive,13
lucky,positive,13
monster,negative,13
murder,negative,13
optimistic,positive,13
peace,positive,13
properly,positive,13
qualified,positive,13
smiles,positive,13
sneaky,negative,13
stuck,negative,13
unable,negative,13
valuable,positive,13
beautiful,positive,12
boom,positive,12
calm,positive,12
corruption,negative,12
creep,negative,12
criticism,negative,12
crush,negative,12
cute,positive,12
dirty,negative,12
disagree,negative,12
discrimination,negative,12
evasive,negative,12
flaw,negative,12
golden,positive,12
hated,negative,12
illegally,negative,12
limits,negative,12
oversight,negative,12
panic,negative,12
pointless,negative,12
racism,negative,12
rejected,negative,12
silent,positive,12
smug,negative,12
sucker,negative,12
threaten,negative,12
willingly,positive,12
winning,positive,12
abusive,negative,11
annoying,negative,11
bashing,negative,11
collusion,negative,11
confusion,negative,11
cons,negative,11
disapproval,negative,11
enemy,negative,11
enjoyed,positive,11
ethical,positive,11
famous,positive,11
furious,negative,11
gained,positive,11
gains,positive,11
greed,negative,11
greedy,negative,11
horrible,negative,11
mocking,negative,11
patriot,positive,11
perfectly,positive,11
plot,negative,11
rant,negative,11
regrets,negative,11
silly,negative,11
smell,negative,11
timely,positive,11
trick,negative,11
uninformed,negative,11
wild,negative,11
worrying,negative,11
alarming,negative,10
ashamed,negative,10
award,positive,10
bless,positive,10
blind,negative,10
bloody,negative,10
cold,negative,10
complain,negative,10
cringe,negative,10
death,negative,10
demise,negative,10
died,negative,10
disingenuous,negative,10
exciting,positive,10
exploit,negative,10
fans,positive,10
fascist,negative,10
fiction,negative,10
flourishing,positive,10
frustrating,negative,10
hatred,negative,10
leaking,negative,10
loses,negative,10
messed,negative,10
outrageous,negative,10
patience,positive,10
protest,negative,10
punk,negative,10
recommend,positive,10
refuse,negative,10
rejects,negative,10
reward,positive,10
ruined,negative,10
sensitive,positive,10
steals,negative,10
strangest,negative,10
strict,negative,10
strike,negative,10
surrender,negative,10
ugly,negative,10
vexing,negative,10
accusations,negative,9
aggressive,negative,9
blah,negative,9
boost,positive,9
bother,negative,9
bravo,positive,9
