word,sentiment,n
verantwortung,positive,22
einfach,positive,21
erklärt,positive,19
skandal,negative,19
fehler,negative,18
besser,positive,16
liebe,positive,14
wissen,positive,14
richtig,positive,13
schutz,positive,12
genau,positive,11
intelligenz,positive,11
naiv,negative,11
schuldig,negative,10
sicherheit,positive,10
ende,negative,9
klar,positive,9
lachen,positive,9
recht,positive,9
verdient,positive,9
zensur,negative,9
gefragt,positive,8
glaube,positive,8
möglichkeit,positive,8
schnell,positive,8
wichtig,positive,8
zweifel,negative,8
bekannt,positive,7
besserung,positive,7
farce,negative,7
interessiert,positive,7
kostenlos,positive,7
löschen,negative,7
besten,positive,6
fest,positive,6
freuen,positive,6
kritik,negative,6
propaganda,negative,6
überrascht,positive,6
unglaubwürdigkeit,negative,6
verraten,negative,6
verstehen,positive,6
wert,positive,6
bereit,positive,5
ernsthaft,positive,5
experte,positive,5
hart,negative,5
kurz,negative,5
nutzen,positive,5
schlecht,negative,5
souverän,positive,5
top,positive,5
vage,negative,5
verrückt,negative,5
vertrauen,positive,5
ausreichen,positive,4
böse,negative,4
einschränken,negative,4
empörung,negative,4
enttäuscht,negative,4
erfahrung,positive,4
erstaunlich,positive,4
fahrlässigkeit,negative,4
freund,positive,4
gerechtfertigt,positive,4
interessant,positive,4
irre,negative,4
lüge,negative,4
mangel,negative,4
nervös,negative,4
schlau,positive,4
schön,positive,4
schuld,negative,4
sicher,positive,4
unterstützung,positive,4
unwissenheit,negative,4
verdienen,positive,4
wahnsinn,negative,4
zerschlagen,negative,4
angriff,negative,3
brechen,negative,3
dreck,negative,3
ehrlich,positive,3
empfehlung,positive,3
frei,positive,3
gefallen,positive,3
geschickt,positive,3
gewalt,negative,3
gewinn,positive,3
gewinner,positive,3
groß,positive,3
hoffen,positive,3
interessieren,positive,3
kämpfen,negative,3
krise,negative,3
lächeln,positive,3
leid,negative,3
mut,positive,3
reich,positive,3
scheiße,negative,3
sinn,positive,3
spannend,positive,3
spaß,positive,3
verantwortlich,positive,3
verbessern,positive,3
vollkommen,positive,3
vorwurf,negative,3
witzig,positive,3
zensieren,negative,3
ablenkung,negative,2
absolut,positive,2
aktiv,positive,2
aktuell,positive,2
anbieten,positive,2
aufregen,negative,2
aufregung,negative,2
aufschwung,positive,2
aufstieg,positive,2
