word,n
daten,234
anhörung,179
kongress,161
europa,141
unterschreiben,140
chef,136
frage,110
senat,69
senator,67
datenskandal,58
nutzer,48
befragung,45
eu,41
internet,30
live,30
parlament,30
jahren,29
auftritt,28
datenschutz,28
milliarden,26
thema,25
befragt,24
entschuldigt,24
online,23
welt,23
bezahl,22
user,22
verantwortung,22
vielen,22
werbung,22
einfach,21
hätte,21
aktie,20
zeigt,20
aussagen,19
ceo,19
erklärt,19
hearing,19
menschen,19
politiker,19
sagen,19
skandal,19
soeben,19
stellen,19
stunden,19
veröffentlicht,19
wäre,19
dank,18
fehler,18
ganz,18
geben,18
geld,18
tag,18
entschuldigungen,17
gründer,17
memes,17
publiziert,17
wohl,17
besser,16
news,16
sehen,16
antwort,15
betroffen,15
deutschland,15
fb,15
gehört,15
gewitter,15
heise,15
lustig,15
sieht,15
steht,15
twitter,15
variante,15
ahnung,14
data,14
di,14
drei,14
herr,14
liebe,14
neue,14
privatsphäre,14
senate,14
übrigens,14
wenig,14
wissen,14
anzug,13
de,13
große,13
leute,13
möchte,13
morgen,13
richtig,13
rund,13
senators,13
social,13
spricht,13
umgang,13
usa,13
zahlen,13
antworten,12
befragen,12
daily,12
dienst,12
dollar,12
erst,12
gegrillt,12
gesehen,12
leben,12
moment,12
schutz,12
woche,12
ändern,11
bald,11
bill,11
deutsche,11
endlich,11
erste,11
firma,11
frau,11
genau,11
guten,11
intelligenz,11
land,11
lange,11
media,11
naiv,11
paar,11
suckerberg,11
unternehmen,11
verspricht,11
watch,11
zeit,11
zucker,11
bekommen,10
bleibt,10
davon,10
europaparlament,10
facebooks,10
fünf,10
gar,10
geschäftsmodell,10
google,10
gute,10
hotel,10
interview,10
jaeden,10
kommen,10
kommentar,10
künstliche,10
lacht,10
millionen,10
movie,10
netzwerk,10
nutzerdaten,10
recommendations,10
reumütig,10
schuldig,10
seite,10
sicherheit,10
skarsg,10
sozialen,10
stars,10
steigt,10
stellt,10
testimony,10
überhaupt,10
übernimmt,10
version,10
video,10
zusammenfassung,10
zwei,10
alte,9
anhörungen,9
apps,9
aussage,9
barca,9
danke,9
digitale,9
druck,9
ende,9
enthüllt,9
geschlossen,9
gesprochen,9
heißt,9
klar,9
lachen,9
letzte,9
letzten,9
ließ,9
livestream,9
nacht,9
offenbar,9
recht,9
schwitzen,9
stelle,9
trotz,9
verdient,9
vorladen,9
weicht,9
zensur,9
ausschuss,8
barcelona,8
beiträge,8
bla,8
bringen,8
cruz,8
daran,8
datenskandals,8
debatte,8
demokratie,8
durbin,8
eher,8
fall,8
finde,8
finden,8
fliegt,8
gefragt,8
gesicht,8
gestellt,8
glaube,8
jahre,8
justizkommissarin,8
konkreten,8
lässt,8
lieber,8
medien,8
mio,8
möglichkeit,8
natürlich,8
netz,8
politik,8
prüfen,8
regulieren,8
regulierung,8
roma,8
sammeln,8
schnell,8
seiten,8
sitzt,8
tv,8
überraschung,8
überwachen,8
valley,8
washington,8
weiß,8
wichtig,8
zukunft,8
zweifel,8
account,7
aktuelle,7
angehört,7
ankündigungen,7
artikel,7
ausgesagt,7
bekannt,7
besserung,7
bleiben,7
bringt,7
chronologie,7
congress,7
datenaffäre,7
deutlich,7
deutschen,7
ersten,7
erwartet,7
farce,7
genommen,7
gesellschaft,7
glimpflich,7
grill,7
ikarus,7
interessiert,7
kam,7
konsequenzen,7
konzerne,7
kostenlos,7
länger,7
link,7
löschen,7
nachrichten,7
namen,7
nie,7
paul,7
priorität,7
probleme,7
regeln,7
reuig,7
ryan,7
selbstbewusst,7
shirts,7
silicon,7
spickzettel,7
tages,7
ted,7
tweets,7
uhr,7
verkauft,7
wahrscheinlich,7
weiss,7
wirtschaft,7
zuck,7
zurück,7
abend,6
aktion,6
aktuellen,6
alien,6
analyse,6
besten,6
blick,6
brüssel,6
ca,6
datensammler,6
deutet,6
dritte,6
eigene,6
einzige,6
eisenberg,6
erneut,6
fake,6
fest,6
flächendeckend,6
folgen,6
foto,6
fragt,6
freuen,6
gab,6
ganze,6
gebracht,6
gelobt,6
gerne,6
geworden,6
grillen,6
grilling,6
immerhin,6
instagram,6
katholischer,6
kommentiert,6
kostet,6
kritik,6
laden,6
legt,6
leuten,6
linker,6
meint,6
meisten,6
ne,6
nochmal,6
parlamentarier,6
passt,6
plattform,6
politischer,6
post,6
propaganda,6
reagiert,6
rede,6
reicher,6
richtigen,6
roasts,6
rum,6
satire,6
scheint,6
schützen,6
tage,6
taktik,6
teil,6
teilweise,6
trägt,6
überblick,6
überrascht,6
unglaubwürdigkeit,6
verraten,6
verstehen,6
vier,6
vorm,6
wert,6
wichtige,6
zeigte,6
zeitung,6
zweimal,6
zweiten,6
abgegriffen,5
aktivitäten,5
alten,5
analysiert,5
ändert,5
anh,5
auftreten,5
aussieht,5
beantworten,5
begonnen,5
benutzt,5
bereit,5
bezahlversion,5
bild,5
bittet,5
börse,5
check,5
click,5
datenmissbrauch,5
datensicherheit,5
death,5
dumme,5
einstellung,5
entschuldigen,5
ernsthaft,5
eur,5
experte,5
findet,5
genauso,5
glauben,5
grossen,5
hält,5
hart,5
herrn,5
hinterher,5
hockenheim,5
ii,5
ironie,5
jörg,5
journalisten,5
karikatur,5
kollege,5
konsequenterweise,5
konservative,5
kontrolle,5
konzern,5
kostenlose,5
kritischen,5
kurz,5
lassen,5
lasst,5
leisten,5
lieberher,5
liest,5
na,5
neuer,5
nimmt,5
nutzen,5
offen,5
politikern,5
politisch,5
punkt,5
reaktion,5
regierung,5
reicht,5
repräsentantenhaus,5
robot,5
roboter,5
schlecht,5
selber,5
sollen,5
sorgte,5
souverän,5
soviel,5
sozial,5
speech,5
sprechen,5
stalin,5
stream,5
sympathy,5
system,5
teilen,5
top,5
typische,5
unangenehmen,5
vage,5
verlängerung,5
verrückt,5
versprochen,5
versucht,5
vertrauen,5
völlig,5
vorbereitet,5
vortrag,5
ware,5
wars,5
web,5
whatsapp,5
wi,5
wochen,5
zehn,5
zeiten,5
ziehen,5
zwillinge,5
agbs,4
al,4
amerikaner,4
anleger,4
antwortete,4
ausreichen,4
begründet,4
berg,4
bericht,4
beruht,4
beste,4
böse,4
darf,4
datenklau,4
datenschut,4
denken,4
denkt,4
diskutieren,4
dutzend,4
egal,4
eigenes,4
eindruck,4
einschränken,4
empörung,4
enttäuscht,4
erfahrung,4
erkenntnis,4
erkenntnisse,4
erklären,4
erstaunlich,4
erstmals,4
europäischen,4
experten,4
fahrlässigkeit,4
faktencheck,4
fand,4
freund,4
fühlt,4
führte,4
ge,4
gegangen,4
gelöscht,4
generation,4
gerechtfertigt,4
gesagt,4
geschlagen,4
gesichtserkennung,4
gesperrt,4
gespräch,4
gestrigen,4
gifs,4
guter,4
häme,4
handelsblatt,4
hate,4
hearings,4
heißen,4
highlights,4
inhalte,4
interessant,4
interessanter,4
irgendwas,4
irre,4
jahr,4
jährige,4
jiangweisen,4
justizministerin,4
kaffeepause,4
kanäle,4
key,4
klare,4
ko,4
komisch,4
konservati,4
konservativen,4
kopf,4
kosten,4
kostenpflichtig,4
krawatte,4
kritisiert,4
kunden,4
kündigt,4
lädt,4
lesen,4
lüge,4
ma,4
mag,4
mangel,4
meinung,4
million,4
mistake,4
mögliche,4
monopol,4
monopolist,4
mustsee,4
nehmen,4
nervös,4
network,4
nix,4
öffentliche,4
präsident,4
privater,4
prozent,4
pure,4
quotes,4
raus,4
rechte,4
reden,4
relativ,4
reue,4
schaler,4
schalten,4
schauen,4
schlau,4
schön,4
schuld,4
selbstversuch,4
sen,4
service,4
sicher,4
silk,4
situation,4
solange,4
spannung,4
spielt,4
täglich,4
team,4
tech,4
total,4
trackt,4
trend,4
trends,4
umfrage,4
unterstützung,4
unwissenheit,4
verdienen,4
verfolgen,4
verhalten,4
verkehrte,4
versteht,4
versuchen,4
verteilung,4
wahnsinn,4
wärt,4
weniger,4
wich,4
wichtiger,4
wirft,4
wirk,4
wirkte,4
worden,4
york,4
zerschlagen,4
zieht,4
zitieren,4
zugriff,4
zumindest,4
zweite,4
abbitte,3
abblitzen,3
abgeordnete,3
aktuelles,3
alleine,3
alleinherrschers,3
analysieren,3
anfangs,3
angaben,3
angriff,3
anlass,3
anzeigen,3
app,3
april,3
arme,3
ausgequetscht,3
bade,3
befunden,3
beispiel,3
bekennt,3
bekommt,3
bereits,3
berichtet,3
berlin,3
besteht,3
betreibt,3
bezahlen,3
bezüglich,3
bisher,3
blumenthal,3
brechen,3
brunnsmann,3
buch,3
bundestag,3
bürger,3
chance,3
code,3
dachte,3
dat,3
datenkrake,3
datenweitergabe,3
demnächst,3
derzeit,3
destroys,3
detail,3
deutete,3
diamond,3
dick,3
digitalexperten,3
dinge,3
direktor,3
diskussion,3
dreck,3
droht,3
durchforstet,3
eben,3
edward,3
eh,3
ehrlich,3
eigentli,3
eisenbergzuckerberg,3
empfehlung,3
entscheiden,3
entwicklung,3
erhält,3
erreicht,3
erzählen,3
euro,3
expe,3
fährt,3
falls,3
fanpage,3
feel,3
findest,3
